code,description,machine_category,machine_brand,machine_model,price,stock,min_stock,supplier_key,supplier_id
MAK-EBH-FLT,Filtro de aire Makita EBH252U,Sopladora,Makita,EBH252U,42000,15,4,PROV011,
MAK-EBH-BUJ,Bujia CMR5H Makita EBH252U,Sopladora,Makita,EBH252U,25000,25,6,PROV012,
MAK-EBH-CRB,Carburador Makita EBH252U,Sopladora,Makita,EBH252U,278000,3,1,PROV011,
ECH-PB580-FLT,Filtro de aire Echo PB-580T,Sopladora,Echo,PB-580T,69000,12,3,PROV018,
ECH-PB580-BUJ,Bujia NGK Echo PB-580T,Sopladora,Echo,PB-580T,31000,25,6,PROV012,
ECH-PB580-CRB,Carburador Zama Echo PB-580T,Sopladora,Echo,PB-580T,339000,3,1,PROV018,
ECH-SRM225-CAB,Cabezal Speed-Feed Echo SRM-225,Desmalezadora,Echo,SRM-225,146000,8,2,PROV018,
ECH-SRM225-FLT,Filtro de aire Echo SRM-225,Desmalezadora,Echo,SRM-225,38000,15,4,PROV018,
BST-850EX-FLT,Filtro de aire Briggs 850EX,Motor,Briggs & Stratton,850EX,54000,15,4,PROV028,
BST-850EX-BUJ,Bujia Champion RJ17LM Briggs,Motor,Briggs & Stratton,850EX,19000,30,8,PROV019,
BST-850EX-ACE,Aceite SAE 10W30 946ml,General,General,Universal,29000,50,10,PROV097,
ORG-HIL-24-15,Hilo cuadrado Oregon 2.4mm 15m,Desmalezadora,General,Universal,54000,25,6,PROV016,
ORG-HIL-30-100,Hilo redondo Oregon 3mm 100m,Desmalezadora,General,Universal,107000,15,4,PROV016,
ORG-CAD-325-72,Cadena Oregon .325 72E universal,Motosierra,General,Universal,96000,12,3,PROV016,
COM-BOMB-SEL,Kit sellos bomba Comet APS41,Bomba,Comet,APS 41,135000,6,2,PROV020,
COM-BOMB-VAL,Valvula bomba Comet APS31,Bomba,Comet,APS 31,108000,8,2,PROV020,
WAL-KIT-REP,Kit reparacion carburador Walbro,General,Walbro,Universal,69000,12,3,PROV014,
ZAM-KIT-REP,Kit reparacion carburador Zama,General,Zama,Universal,62000,12,3,PROV015,
NGK-CMR6H,Bujia NGK CMR6H universal,General,NGK,CMR6H,27000,50,10,PROV012,
NGK-CMR5H,Bujia NGK CMR5H universal,General,NGK,CMR5H,25000,50,10,PROV012,
NGK-BPR6ES,Bujia NGK BPR6ES universal,General,NGK,BPR6ES,23000,50,10,PROV012,
CHA-RJ17LM,Bujia Champion RJ17LM universal,General,Champion,RJ17LM,21000,40,8,PROV019,
LUB-2T-100ML,Aceite 2 tiempos 100ml,General,General,Universal,18000,60,15,PROV097,
LUB-2T-1L,Aceite 2 tiempos 1 litro,General,General,Universal,95000,30,8,PROV097,
LUB-4T-1L,Aceite 4 tiempos SAE 10W30 1L,General,General,Universal,88000,30,8,PROV097,
FLT-AIRE-GEN,Filtro de aire generico universal,General,General,Universal,38000,25,6,PROV003,
TUB-COMB-3MM,Tubo combustible transparente 3mm x1m,General,General,Universal,19000,40,10,PROV004,
TUB-COMB-5MM,Tubo combustible reforzado 5mm x1m,General,General,Universal,22000,35,8,PROV004,
EMP-CARTER,Empaquetadura carter universal,General,General,Universal,35000,20,5,PROV004,
ROD-CIGUAL,Rodamiento ciguenal universal 6204,General,General,Universal,48000,15,4,PROV004,
KIT-PISTON-GEN,Kit piston y aros universal 40mm,General,General,Universal,195000,5,2,PROV034,
STIHL-ACEITE-2T,Aceite 2T Stihl HP 100ml,General,Stihl,Universal,22000,60,15,PROV001,
STIHL-ACEITE-1L,Aceite 2T Stihl HP 1 litro,General,Stihl,Universal,115000,25,6,PROV001,
HUS-ACEITE-2T,Aceite 2T Husqvarna HP 100ml,General,Husqvarna,Universal,20000,60,15,PROV017,
KAR-BOQ-TURBO,Boquilla turbo universal Karcher,Hidrolavadora,Karcher,Universal,89000,10,3,PROV010,
NIL-CPI-SW55,Cepillo central barredora Nilfisk SW5500,Barredora,Nilfisk,SW5500,424000,3,1,PROV026,
NIL-FLT-SW55,Filtro bolsa polvo Nilfisk SW5500,Barredora,Nilfisk,SW5500,108000,6,2,PROV026,
KUB-ACEITE-DIES,Aceite motor diesel Kubota 15W40 1L,Motor,Kubota,Universal,105000,20,5,PROV027,
STIHL-MS170-TUB,Tubo de combustible MS170,Motosierra,Stihl,MS 170,19000,30,8,PROV004,
STIHL-TRIM-CAB,Cabezal AutoCut C26-2 universal,Desmalezadora,Stihl,Universal,155000,10,3,PROV001,
